Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56.0,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4.0,3,30.2
46.0,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4.0,2,32.0
32.0,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4.0,2,24.71
25.0,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3.0,1,18.41
38.0,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3.0,1,14.39
,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,,2.7,5.0,3,20.55
36.0,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3.0,2,23.76
,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3.0,2,30.57
28.0,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4.0,2,32.34
28.0,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,,2.7,3.0,1,30.07
41.0,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,,3.0,2.0,1,43.31
53.0,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3.0,2,17.89
57.0,Male,112.5,1.61,195,165,61,1.24,1013.0,Cardio,22.1,2.7,3.0,2,43.4
,Male,94.5,2.0,179,136,69,1.18,794.0,HIIT,,3.7,3.0,1,23.62
20.0,Male,117.7,1.81,196,161,54,1.35,1195.0,Yoga,26.4,3.3,3.0,2,35.93
39.0,Female,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,,1,13.88
19.0,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3.0,2,27.34
41.0,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3.0,1,13.98
47.0,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3.0,2,21.81
55.0,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2.0,1,26.96
19.0,Male,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4.0,2,28.41
38.0,Male,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2.0,1,22.95
,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2.0,1,25.16
